GE	30.66	General Electric
APPL	119.30	Apple
CMG	536.19	Chipotle Mexican Grill
AMZN	668.45	Amazon.com
AGN	312.46	ALLERGAN
FB	107.32	Facebook
VRX	91.00	VALEANT Pharmaceuticals International
NFLX	123.84	NetFlix
GOOGL	777.00	ALPHABET-A
PFE	32.18	Pfizer
MSFT	54.19	Microsoft
BABA	79.95	ALIBABA Group Holding Limited
GOOG	756.60	ALPHABET-C
INTC	34.66	Intel Corp
DIS	120.07	Walt Disney
NKE	132.65	NIKE
HD	130.21	Home Depot
BAC	17.65	Bank of America
TSLA	220.01	TESLA MOTORS
WFC	55.82	Wells Fargo
